Freeze Dried Meal - PR,Food,Biscuits & Sausage Gravy,1,191.93,g,https://www.amazon.com/gp/product/B091KJY648?psc=1,12.99,,Consumable
Freeze Dried Meal - PR,Food,Beef Stroganoff,2,142.03,g,https://www.rei.com/product/182728/peak-refuel-beef-stroganoff-2-servings?sku=1827280001,11.65,,Consumable
Freeze Dried Meal - BP,Food,"Granola with Blueberries, Almonds, Milk",1,132.96,g,https://www.rei.com/product/101429/backpackers-pantry-granola-with-milk-and-organic-blueberries?sku=1014290001,6.25,,Consumable
Starkist Tuna,Food,Sweet & Spicy,1,73.99,g,https://www.fredmeyer.com/p/starkist-tuna-creations-sweet-spicy-seasoned-tuna/0008000051308,1.50,,Consumable
Juicy Juice,Food,,,,,,0.00,,Consumable
Backpacking Pack,Hiking,Osprey Atmos AG 65 - L,1,1899.42,g,https://www.rei.com/product/134072/osprey-atmos-ag-65-pack-mens,201.99,,
Water Resevoir,Hiking,Hydrapak Force - 3L,1,249.48,g,https://www.amazon.com/gp/product/B07M6RSKBV?psc=1,43.00,,
Z-Biner,Hiking,,3,3.97,g,,,,
Hiking Pole,Hiking,Black Diamond Z-Pole,1,70.87,g,https://www.rei.com/product/127493/black-diamond-distance-carbon-z-trekking-poles-pair,84.98,Worn,
Salomon Flask,Hiking,Salomon Soft Flask - 500ml,1,214.04,g,https://www.amazon.com/gp/product/B07V6FQ67S?psc=1,19.95,,
Sunscreen,Human Flaws,Banana Boat Sport - 100 SPF,1,,,,,,
Anti-Chafe Cream,Human Flaws,Chamois Butt'r Eurostyle,1,,,https://www.amazon.com/Chamois-Buttr-Eurostyle-Anti-Chafe-Cream/dp/B001C69L6K,16.29,,
Contacts,Human Flaws,Pair of Acuvue Oaysis,12,3.97,g,,,,
Leukotape,Human Flaws,,1,,,,,,
Sunglasses,Human Flaws,Bnus Sunglasses,1,,,https://www.amazon.com/gp/product/B075V514FJ?psc=1,87.99,Worn,
Eyeglasses,Human Flaws,,1,30.90,g,,,,
Food Bag,Kitchen,Ursack AllMitey - 30l,1,433.75,g,https://www.rei.com/product/182979/ursack-allmitey-kodiak-bear-and-critter-sack-30-liters,239.95,,
